"Compound name","Smiles","logkp (cm/s)","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI"
"Acyclovir","Nc1nc(=O)c2c([nH]1)n(COCCO)cn2","-7.778","abdomen","epidermis, dermis","fat removed","","","0","","3","Citro-phosphate-buffer","","7.4","PBS","Franz cell","Volpato, 1998","10.1016/S0168-3659(97)00152-1"
"Aldosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C=O)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.793","abdomen, chest, back","epidermis","heat separation","5","7","0","","","","","","","Glass diffusion cell","Johnson, 1995","10.1002/jps.2600840922"
"Aldosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C=O)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.857","","epidermis","heat separation","4","14","0","","","PBS","","","PBS","Franz cell","Mitragotri, 1996","10.1023/A:1016096626810"
"Aldosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C=O)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-8.079","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"Aldosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C=O)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-9.079","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Amobarbital","CCC1(CCC(C)C)C(=O)NC(=O)NC1=O","-6.201","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","5.0","NaOH","37","7.4","PBS","Franz cell","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Amphetamine","CC(Cc1ccccc1)N","-8.409","thigh","epidermis, dermis","dermatomed 750um, hydrated","4","","0","","","","","7","Ringer solution","Glass diffusion cell","Galey, 1976","10.1111/1523-1747.ep12598596"
"Amphetamine","CC(Cc1ccccc1)N","-4.592","thigh","dermis","heat separation, hydrated","4","","0","","","","","7","Ringer solution","Glass diffusion cell","Galey, 1976","10.1111/1523-1747.ep12598596"
"Aspartic acid","OC(=O)CC(C(=O)O)N","-7.432","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","3.4","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Aspartic acid","OC(=O)CC(C(=O)O)N","-7.585","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","7.3","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Atenolol","OC(COc1ccc(cc1)CC(=O)N)CNC(C)C","-7.857","abdomen","epidermis, dermis","dermatomed 1200um, hydrated","-20","","0","32","7.4","Sorensen buffer","32","7.6","Sorensen buffer","Franz cell","Modamio, 2000","10.1016/S0378-5173(99)00380-4"
"Atropine","OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)N2C","-7.676","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Atropine","OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)N2C","-8.635","thigh","epidermis, dermis","","4","14","0","30","8","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Barbital","CCC1(CC)C(=O)NC(=O)NC1=O","-7.509","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","5.0","NaOH","37","7.4","PBS","Franz cell","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Benzene","c1ccccc1","-4.511","abdomen","epidermis","heat separation","4","","0","31","","NaCl solution","","","NaCl solution","Glass diffusion cell","Blank, 1985","10.1111/1523-1747.ep12277325"
"Benzene","c1ccccc1","-4.352","abdomen, back","epidermis","heat separation","4","7","0","25","","PBS","25","","PBS","Glass diffusion cell","Mitragotri, 1995","10.1002/jps.2600840607"
"Benzoic acid","OC(=O)c1ccccc1","-5.675","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Benzoic acid","OC(=O)c1ccccc1","-5.156","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Benzyl nicotinate","O=C(c1cccnc1)OCc1ccccc1","-5.348","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"Betamethasone","OCC(=O)[C@@]1(O)[C@@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F","-7.153","abdomen, thigh, breast","epidermis, dermis","dermatomed 500um","4","4","0","37","4.5","Acetate solution","37","4.5","Acetate solution","Glass diffusion cell","Kubota, 1993","10.1002/jps.2600821017"
"Betamethasone-17-valerate","CCCCC(=O)OC1(C(C)CC2C1(C)CC(O)C1(C2CCC2=CC(=O)C=CC12C)F)C(=O)CO","-6.496","abdomen","dermis","heat separation","-20","","0","25","","","25","","","Glass diffusion cell","Siddiqui, 1989","10.1007/bf01061455"
"Betamethasone-17-valerate","CCCCC(=O)OC1(C(C)CC2C1(C)CC(O)C1(C2CCC2=CC(=O)C=CC12C)F)C(=O)CO","-5.525","abdomen, thigh, breast","epidermis, dermis","dermatomed 500um","4","4","0","37","4.5","Acetate solution","37","4.5","Acetate solution","Glass diffusion cell","Kubota, 1993","10.1002/jps.2600821017"
"Bis(2-ethylhexyl)phthalate","CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC","-6.979","","stratum corneum","heat separation","4","2","1","","","","30","7.1","Dulbecco PBS","Franz cell","Barber, 1992","10.1016/0272-0590(92)90086-W"
"Bis(2-ethylhexyl)phthalate","CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC","-7.653","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Bis(2-ethylhexyl)phthalate","CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC","-8.8","abdomen","epidermis, dermis","heat separation","-4","","1","30","","","30","","Ethanol 50%","Glass diffusion cell","Scott, 1987","10.1289/ehp.8774223"
"Bisoprolol Fumarate","OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C.OC(=O)/C=C/C(=O)O","-7.125","abdomen","epidermis, dermis","dermatomed 1200um, hydrated","-20","","0","32","","","32","7.4","Sorensen buffer","Franz cell","Modamio, 1998","10.1016/S0378-5173(98)00214-2"
"Bisphenol A diglycidyl ether","CC(c1ccc(cc1)OCC1OC1)(c1ccc(cc1)OCC1OC1)C","-9.875","breast","epidermis, dermis","dermatomed","","0.125","0","32","","","","7.4","Hanks balanced salt solution","Flow through cell","Boogaard, 2000","10.1080/004982500237488"
"Borax","[O-]B1OB2OB(OB(O1)O2)[O-].[Na+].[Na+]","-7.326","thigh","epidermis, dermis","dermatomed 500um","1","5","0","32","","Water","","","PBS","Flow through cell","Wester, 1998","10.1006/toxs.1998.2490"
"Boric acid","OB(O)O","-7.199","thigh","epidermis, dermis","dermatomed 500um","1","5","0","32","","Water","","","PBS","Flow through cell","Wester, 1998","10.1006/toxs.1998.2490"
"Bromoacetic acid","OC(=O)CBr","-6.41","breast","epidermis, dermis","dermatomed 250-280um","-20","","1","40","7","Water","37","7.4","","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Bromochloroacetic acid","OC(=O)C(Br)Cl","-6.352","breast","epidermis, dermis","dermatomed 250-280um","-20","","1","40","7","Water","37","7.4","","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Bromochloroacetonitrile","ClC(C#N)Br","-4.352","torso","epidermis, dermis","dermatomed 250-280um","-20","","0","37","","Water","37","7.4","PBS","Glass diffusion cell","Trabaris, 2012","10.1002/jat.1657"
"Bromodichloromethane","ClC(Br)Cl","-4.301","breast","epidermis, dermis","dermatomed 250-280um","-20","","0","25","7","Water","37","7.4","PBS","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Bromoform","BrC(Br)Br","-4.234","breast","epidermis, dermis","dermatomed 250-280um","-20","","0","25","7","Water","37","7.4","PBS","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Butan-2-one","CCC(=O)C","-5.903","abdomen","epidermis","heat separation","","","0","","","","","","","Glass diffusion cell","Blank, 1967","10.1038/jid.1967.184"
"Butan-2-one","CCC(=O)C","-5.903","","epidermis","","","","0","30","","","30","","","","Scheuplein, 1967","10.1038/jid.1967.11"
"Butobarbital","CCCCC1(CC)C(=O)NC(=O)NC1=O","-7.268","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","5.0","NaOH","37","7.4","PBS","Franz cell","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Butoxyethanol","CCCCOC(O)C","-6","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Butoxyethanol","CCCCOC(O)C","-5.982","breast","epidermis, dermis","dermatomed 330um, hydrated","","","0","32","","Water","37","7.4","Saline, HCl","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Butoxyethanol","CCCCOC(O)C","-6.364","breast","epidermis, dermis","","","","0","32","","Water","37","7.4","Saline, HCl","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Butyl 4-hydroxybenzoat","CCCCOC(=O)c1ccc(cc1)O","-4.538","abdomen","epidermis","heat separation","","","0","32","7.4","PBS","37","","PBS","Franz cell","Akomeah, 2007","10.1002/jps.20773"
"Butyl nicotinate","CCCCOC(=O)c1cccnc1","-5.335","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"Butyl p-aminobenzoate","CCCCOC(=O)c1ccc(cc1)N","-4.607","thigh","epidermis, dermis","dermatomed 300um","4","","0","25","","","25","","","Flow through cell","Roy, 1993","10.1002/jps.2600821217"
"Butyl p-aminobenzoate","CCCCOC(=O)c1ccc(cc1)N","-4.41","thigh","epidermis, dermis without stratum corneum","dermatomed, tape-stripped","4","","0","25","","","25","","","Flow through cell","Roy, 1993","10.1002/jps.2600821217"
"Caffeine","Cn1cnc2c1c(=O)n(C)c(=O)n2C","-7.053","abdomen","epidermis","heat separation","","","0","32","7.4","PBS","37","","PBS","Franz cell","Akomeah, 2007","10.1002/jps.20773"
"Caffeine","Cn1cnc2c1c(=O)n(C)c(=O)n2C","-7.556","abdomen, back","epidermis","heat separation","4","7","0","25","","PBS","25","","PBS","Glass diffusion cell","Mitragotri, 1995","10.1002/jps.2600840607"
"Caffeine","Cn1cnc2c1c(=O)n(C)c(=O)n2C","-6.828","abdomen","epidermis, dermis","dermatomed 350um","","60","0","32","","","","","","Flow through cell","Bronaugh, 1986","10.1111/j.1365-2133.1986.tb06214.x"
"Caffeine","Cn1cnc2c1c(=O)n(C)c(=O)n2C","-7.145","leg","epidermis","heat separation","","","0","32","","","37","7.4","PBS","Franz cell","Dias, 1999","10.1016/S0378-5173(99)00067-8"
"Caffeine","Cn1cnc2c1c(=O)n(C)c(=O)n2C","-6.352","abdomen","stratum corneum","heat separation, hydrated","","","0","30","","","","","","Glass diffusion cell","Southwell, 1984","10.1016/0378-5173(84)90145-5"
"Caffeine","Cn1cnc2c1c(=O)n(C)c(=O)n2C","-6.541","breast","epidermis, dermis","dermatomed 330um, hydrated","","","0","32","","Ethanol/water (1:1 v/v)","37","7.4","Saline, HCl","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Caffeine","Cn1cnc2c1c(=O)n(C)c(=O)n2C","-6.915","breast","epidermis, dermis","","","","0","32","","Ethanol/water (1:1 v/v)","37","7.4","Saline, HCl","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Carvacrol","CC(c1ccc(c(c1)O)C)C","-4.842","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"Carvacrol","CC(c1ccc(c(c1)O)C)C","-4.81","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"Catechol","Oc1ccccc1O","-6.066","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"Celiprolol Hydrochloride","CCN(C(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)(C)C)O)CC.Cl","-6.785","abdomen","epidermis, dermis","dermatomed 1200um, hydrated","-20","","0","32","","","32","7.4","Sorensen buffer","Franz cell","Modamio, 1998","10.1016/S0378-5173(98)00214-2"
"Chloral hydrate","OC(C(Cl)(Cl)Cl)O","-5.965","torso","epidermis, dermis","dermatomed 250-280um","-20","","0","37","","Water","37","7.4","PBS","Glass diffusion cell","Trabaris, 2012","10.1002/jat.1657"
"Chloroacetic acid","OC(=O)CCl","-6.515","breast","epidermis, dermis","dermatomed 250-280um","-20","","1","40","7","Water","37","7.4","","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Chloroacetonitrile","ClCC#N","-4.561","torso","epidermis, dermis","dermatomed 250-280um","-20","","0","37","","Water","37","7.4","PBS","Glass diffusion cell","Trabaris, 2012","10.1002/jat.1657"
"Chlorocresol","Cc1c(O)cccc1Cl","-4.816","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Chlorocresol","Cc1c(O)cccc1Cl","-5","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"Chlorodibromomethane","ClC(Br)Br","-4.255","breast","epidermis, dermis","dermatomed 250-280um","-20","","0","25","7","Water","37","7.4","PBS","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Chloroform","ClC(Cl)Cl","-4.352","breast","epidermis, dermis","dermatomed 250-280um","-20","","0","25","7","Water","37","7.4","PBS","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Chloroxylenol","Cc1ccc(c(c1C)O)Cl","-4.785","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Chloroxylenol","Cc1ccc(c(c1C)O)Cl","-4.651","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"Chlorpheniramine","CN(CCC(c1ccccn1)c1ccc(cc1)Cl)C","-6.216","thigh","epidermis, dermis","","4","14","0","30","10.3","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Chlorpheniramine","CN(CCC(c1ccccn1)c1ccc(cc1)Cl)C","-6.491","thigh","epidermis, dermis","","4","14","0","30","10","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Chlorpyrifos","CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC","-7.158","breast","","","4","1","0","32","","","","","","Flow through cell","Griffin, 2000","10.1191/096032700678815684"
"Clotrimazole","Clc1ccccc1C(n1cncc1)(c1ccccc1)c1ccccc1","-9.255","abdomen","epidermis, dermis","dermatomed 600um","-80","60","0","32","","Propylene glycol","","","PBS with ethanol","Franz cell","Schmook, 2001","10.1016/S0378-5173(00)00665-7"
"Codeine","COc1ccc2c3c1OC1C43CCN(C(C2)C4C=CC1O)C","-7.866","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","Roy, 1989","10.1023/A:1015944018555"
"Cortexolone","OCC(=O)C1(O)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12C","-7.681","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Cortexone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.903","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Corticosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.556","abdomen, chest, back","epidermis","heat separation","5","7","0","","","PBS","","7.4","PBS","Glass diffusion cell","Johnson, 1996","10.1021/js960079z"
"Corticosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.079","abdomen, back","epidermis","heat separation","4","7","0","25","","PBS","25","","PBS","Glass diffusion cell","Mitragotri, 1995","10.1002/jps.2600840607"
"Corticosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.079","","epidermis","heat separation","4","14","0","","","PBS","","","PBS","Franz cell","Mitragotri, 1996","10.1023/A:1016096626810"
"Corticosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.556","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"Corticosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.778","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Corticosterone","OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-8.206","abdomen","dermis","heat separation","-20","","0","25","","","25","","","Glass diffusion cell","Siddiqui, 1989","10.1007/bf01061455"
"Cortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.38","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Cortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-8.556","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Cytarabine","OC[C@H]1O[C@H]([C@H]([C@@H]1O)O)n1ccc(nc1=O)N","-8.856","abdomen","epidermis","heat separation","-20","","0","32","7.4","PBS","32","7.4","PBS","Franz cell","Legoabe, 2010","10.1211/jpp.62.06.0012"
"Dexamethasone","OCC(=O)[C@@]1(O)[C@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F","-7.75","abdomen, chest, back","epidermis","heat separation","5","7","0","","","PBS","","7.4","PBS","Glass diffusion cell","Johnson, 1996","10.1021/js960079z"
"Diazinon","CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC","-5.617","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Dibromoacetic acid","BrC(C(=O)O)Br","-6.141","breast","epidermis, dermis","dermatomed 250-280um","-20","","1","40","7","Water","37","7.4","","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Dibromoacetonitrile","BrC(C#N)Br","-4.326","torso","epidermis, dermis","dermatomed 250-280um","-20","","0","37","","Water","37","7.4","PBS","Glass diffusion cell","Trabaris, 2012","10.1002/jat.1657"
"Dibutyl Phthalate","CCCCOC(=O)c1ccccc1C(=O)OCCCC","-9.195","abdomen","epidermis, dermis","heat separation","-4","","1","30","","","30","","Ethanol 50%","Glass diffusion cell","Scott, 1987","10.1289/ehp.8774223"
"Dichloroacetic acid","ClC(C(=O)O)Cl","-6.278","breast","epidermis, dermis","dermatomed 250-280um","-20","","1","40","7","Water","37","7.4","","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Dichloroacetonitrile","ClC(C#N)Cl","-4.38","torso","epidermis, dermis","dermatomed 250-280um","-20","","0","37","","Water","37","7.4","PBS","Glass diffusion cell","Trabaris, 2012","10.1002/jat.1657"
"Diclofenac","OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl","-6.556","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Diethyl ether","CCOCC","-5.352","abdomen","epidermis","heat separation","","","0","","","","","","","Glass diffusion cell","Blank, 1967","10.1038/jid.1967.184"
"Diethyl ether","CCOCC","-5.325","","epidermis","","","","0","30","","","30","","","","Scheuplein, 1967","10.1038/jid.1967.11"
"Diethyl Phthalate","CCOC(=O)c1ccccc1C(=O)OCC","-8.499","abdomen","epidermis, dermis","heat separation","-4","","1","30","","","30","","Ethanol 50%","Glass diffusion cell","Scott, 1987","10.1289/ehp.8774223"
"Diethylcarbamazine","CCN(C(=O)N1CCN(CC1)C)CC","-7.459","thigh","epidermis, dermis","","4","14","0","30","10","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Diethylene glycol mono n-butyl ether acetate","CCCCOCCOCCOC(=O)C","-7.051","abdomen","epidermis, dermis","fat removed","-25","120","0","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Diethylene glycol mono n-butyl ether acetate","CCCCOCCOCCOC(=O)C","-7.778","abdomen","epidermis, dermis","fat removed","-25","120","1","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Diethylene glycol monobutyl ether","CCCCOCCOCCO","-3.514","","stratum corneum","heat separation","4","2","1","","","","37","7.1","Dulbecco PBS","Franz cell","Barber, 1992","10.1016/0272-0590(92)90086-W"
"Diethylene glycol monobutyl ether","CCCCOCCOCCO","-8.004","abdomen","epidermis","heat separation","","","1","30","","","30","","Water","Glass diffusion cell","Dugard, 1984","10.1289/ehp.8457193"
"Digitoxin","O=C1OCC(=C1)[C@@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O","-8.442","thigh","epidermis, dermis","","4","14","0","30","7","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Dimethyl Phthalate","COC(=O)c1ccccc1C(=O)OC","-8.035","abdomen","epidermis, dermis","heat separation","-4","","1","30","","","30","","Ethanol 50%","Glass diffusion cell","Scott, 1987","10.1289/ehp.8774223"
"Dimethylethylamine","CCN(C)C","-6.079","","epidermis, dermis","","4","1","0","","","","","","Hanks balanced salt solution","Teflon cell","Lundh, 1997","10.1007/s004200050223"
"Dipropylene glycol mono methyl ether","OCC(OCC(OC)C)C","-7.653","abdomen","epidermis, dermis","fat removed","-25","120","0","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Dipropylene glycol mono methyl ether","OCC(OCC(OC)C)C","-7.515","abdomen","epidermis, dermis","fat removed","-25","120","1","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Disodium octaborate tetrahydrate","[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].O.O.O.O.[Na+].[Na+]","-7.653","thigh","epidermis, dermis","dermatomed 500um","1","5","0","32","","Water","","","PBS","Flow through cell","Wester, 1998","10.1006/toxs.1998.2490"
"Ephedrine","CN[C@H]([C@@H](c1ccccc1)O)C","-5.778","thigh","epidermis, dermis","","4","14","0","30","10.8","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Ephedrine","CN[C@H]([C@@H](c1ccccc1)O)C","-5.778","thigh","epidermis, dermis","","4","14","0","30","10.85","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Ephedrine","CN[C@H]([C@@H](c1ccccc1)O)C","-5.778","thigh","epidermis, dermis","","4","14","0","30","10.45","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Ephedrine","CN[C@H]([C@@H](c1ccccc1)O)C","-6.326","thigh","epidermis, dermis","","4","14","0","30","8.85","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Epikote YX4000","Cc1cc(cc(c1OCC1OC1)C)c1cc(C)c(c(c1)C)OCC1OC1","-10.884","breast","epidermis, dermis","dermatomed","","0.125","0","32","","","","7.4","Hanks balanced salt solution","Flow through cell","Boogaard, 2000","10.1080/004982500237488"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-5.967","thigh","epidermis, dermis","dermatomed 750um, hydrated","4","","0","","","","","7","Ringer solution","Glass diffusion cell","Galey, 1976","10.1111/1523-1747.ep12598596"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-6.684","abdomen","epidermis","heat separation, hydrated","-24","","0","30","","Ethanol","32","","Ethanol","Semi-automated apparatus","Goodman, 1988","10.1111/1523-1747.ep12475655"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-6.018","abdomen","epidermis","heat separation, hydrated","-24","","0","30","","Water","32","","Water","Semi-automated apparatus","Goodman, 1988","10.1111/1523-1747.ep12475655"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-5.944","abdomen, chest, back","epidermis","heat separation","5","7","0","","","","","","","Glass diffusion cell","Johnson, 1995","10.1002/jps.2600840922"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-5.937","abdomen, chest, back","epidermis","heat separation","5","7","0","","","PBS","","7.4","PBS","Glass diffusion cell","Johnson, 1996","10.1021/js960079z"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-5.77","abdomen","epidermis","heat separation","4","1","0","37","7.4","PBS","37","7.4","PBS","Glass diffusion cell","Knutson, 1993","10.1016/0168-3659(93)90170-A"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-5.829","thigh","epidermis, dermis","","4","14","0","30","7","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
